,Skill,Count,Ranking
0,excel,5,0.13157894736842105
1,javascript,3,0.07894736842105263
2,java,10,0.2631578947368421
3,bash,1,0.02631578947368421
4,sql,9,0.23684210526315788
5,c++,4,0.10526315789473684
6,ruby,2,0.05263157894736842
7,python,7,0.18421052631578946
8,mssql,1,0.02631578947368421
9,php,3,0.07894736842105263
10,perl,4,0.10526315789473684
